comment,language,confidence,likes,author,published_at
Jadi kalo soal kamera masi bagusan 16pro max kah guys?,id,18,0,@16sxfi44,2025-10-19T19:20:39Z
BENER DONG,id,13,0,@muhammadihsan7143,2025-10-19T14:29:00Z
"Nonton aja dulu, belinya bisa kapan kapan",id,26,0,@aansetiawan9959,2025-10-19T08:48:27Z
Bungkus snack saya juga warna oren😂 24:49,id,13,0,@raygasanjaya01,2025-10-19T05:20:35Z
Dari awal Baru skrg ku geli liat model iPhone terbaru ini,id,13,0,@Isnowek,2025-10-19T01:52:26Z
gila ya kang pajak… gimana gak cepet kaya bea cukai,id,22,0,@KaryawanBermotor,2025-10-18T15:30:58Z
Wah ternyata masih lebih ok 16 ya… zoomnya memang menang ip 17 tapi 16 got the detail dan cantik…,id,22,0,@tato5102,2025-10-18T13:45:00Z
belakangnya gak ada premiumnya - keliatan plastik dan murahan di bagian buble cameranya..sangat di sayangkan sih.,id,44,0,@addywijaya4551,2025-10-18T13:32:38Z
"Setelah lihat konten ini, kemudian buka web2 vendor seller resmi, komparasi sana sini, kalo ada budget, sekalian beli pro, atau gk basic. Jangan yang Air wkwkwkwkwkwk sumpah jangan.",id,53,0,@reytheheroraw,2025-10-18T11:20:18Z
Banyak yg bilang warna orange itu nglupas dia warna nya jadi ilang katanya,id,27,0,@komangdeni170,2025-10-18T09:04:34Z
Seperti nya ini poco versi pro😂😂,id,22,0,@cahngapakk,2025-10-18T04:47:06Z
Rencana mau upgrade dari 7 plus ke 17 basic,id,17,0,@dyosnj-bh8vz,2025-10-17T23:16:48Z
itu jamnya juga warna ijo,id,18,0,@metodiusjuanw7696,2025-10-17T15:43:44Z
Ada yg sama ga si? Makin kesini makin ga fomo beli iphone terbaru?,id,13,0,@anjingtanah1885,2025-10-17T12:19:25Z
"Warna orange 🍊🍊 di sini di panjang sepanjang jalan.
Krn warna tong sampah 😅😅 
Mau bli yg 17 tpi pengen max pro tpi juga bingung g suka gede bngt yg 17 pro max",id,35,0,@ErniMukdori,2025-10-17T11:01:28Z
ijo sage keinget gw dari pixel 5 kalo ga salah,id,13,0,@alfinosaurus,2025-10-17T10:54:40Z
Kao mau upgrade dari iphone 16pro ke 17pro worth it gak yah?,id,26,0,@dianayu1846,2025-10-17T03:03:14Z
bang saran saya buat hasil foto sunset/matahari pas mau terbenam juga dihasil foto❤😅,id,31,0,@rahmatkamal7685,2025-10-17T00:11:03Z
"Di singapore hari ini , 17 pro 256=$1750 512=$2050 1tb =$2350",id,13,0,@bejoowterjalbejoowterjal185,2025-10-17T00:07:43Z
Bismillah semoga bisa beli iPhone biar bisa coba rasain make hp mahal🤲,id,18,0,@Rezabilly-m1n,2025-10-16T14:34:29Z
udah sih bang tinggal bilang warnanya norak...ahahahaha jgn nanggung2,id,18,0,@adekruswandi4889,2025-10-16T14:17:44Z
"apa skip?? nonton David Gadget In skip ga bgt buat gue yg ada kadang gue track back 😭🤣 
klu di suruh pilih gue pulih yg biasa soalnya pro max mah android bgt desain nya ngapain 🤣🤣🤣",id,62,0,@tamharputra9044,2025-10-16T12:42:27Z
"Salfok sama Dyson nya bang, kaya Collab sama Marvel soalnya warna nya Thanos banget",id,35,0,@muhammadgibran6660,2025-10-16T05:00:57Z
"pengen si punya iphone buat ambil dokumentasi kerja di wisata alam, tapi apalah daya gaji umr hehe bantu doa ya sahabat",id,26,2,@vloggerterhitz4797,2025-10-15T06:11:57Z
Gw yg nabung pengen punya IP 11 aja nggak kesampaian aja😢,id,22,0,@Rizalhartono5658,2025-10-14T14:08:04Z
29:00 mungkin ini karena zoom nya cropan dari wide cameranya bang,id,22,0,@YaalaAbrisam,2025-10-13T22:07:03Z
"jujur ga suka model 17 pro,, aneh banget,, wkwkwk
mending 16 pro or 17 aja sihhh",id,35,0,@dodddfrrr,2025-10-13T19:00:38Z
Thanks infonya bang. Apple udh berubah sejak jobs mangkat. Saatnya beralih ke S Ultra gk sih 🙂,id,13,0,@altariervan4184,2025-10-13T10:31:49Z
Aq jatuh pada 17 pro max biru tua  tp mendingan dr pada warna oranye tp masih kurang puas sm warna nya pengen ungu,id,17,0,@Novia1989-x6v,2025-10-13T01:50:03Z
"Terserah mau di katain kaum mendang mending, tp jujur design IP 17 DAN 17 AIR bnr² kocak menurut ku,. Dan aku paling suka design IP camera boba dan layar poni nya , sekalipun menutupi layar tp aku paling suka ketimbang android yg bulet atau punchole",id,94,0,@aidilputra4972,2025-10-12T18:31:49Z
"Ada yg mau beli 15 base model gua gak? Blue 128gb BH 94%. Baru dipake 6 bulan, plus garansi  qoala 2 tahun sepaket sama pembeliannya waktu itu. Masih full box, ambil stiker2 nya sekalian kan susah noh skrg udah gaada stiker lagi. Di 9,8jt net. Kalo kata ci mehong mah yg mau2 aja.",id,89,0,@muhammadalaidinsyah,2025-10-12T15:39:46Z
Saya pengguna 16 pro max desainnya masih bagus tapi kalau 17 letak kameranya makin ngawur😂😂,id,26,0,@Pauzi125,2025-10-12T15:08:56Z
kalau menurut saya 16 pro lebih unggul dari kameranya dibanding 17 pro..,id,12,0,@antonioant0n67,2025-10-12T12:30:17Z
Wah iphone 17 pro max buat adik saya itu hehe,id,22,0,@neta-f4w,2025-10-12T07:06:38Z
"klo negara Indonesia ini di bagi beberapa negara GK usah bnyak ,cukup 3 negara aja pasti rakyat sejahtera",id,22,0,@crispandosaragih,2025-10-11T10:48:19Z
"Tabmelnya harus mendefinisikan riview dong bro kalau menurut gue 👍😎 

Jangan tubmel Clickbait aja 😭",id,39,0,@Biru_official13,2025-10-11T09:22:16Z
Hp yang di agung agung kan netizen Konoha,id,13,0,@xiao-m1b,2025-10-11T04:21:13Z
bentukan hape nya udah kayak android. JELEK,id,27,0,@HadiGear29Fox,2025-10-11T00:10:34Z
"jadi mending 16 pro atau 17 base model guys? bingung bjir, harganya gak jauh beda juga",id,36,0,@aksa66,2025-10-10T11:55:36Z
"Bang, bandingin 17 basic sama 16 pro dong. Aku bingung ini, mending yang mana. Makasih.",id,44,0,@alonalavidi,2025-10-10T08:12:01Z
"Suka semua produk Apple, semoga bisa buka store resminya di Indonesia ❤",id,22,2,@yusuffahrudin1447,2025-10-10T07:10:08Z
Masih nyaman sama seri sebelumnya karena lebih kalem simple elegan dan fitur gak kalah telak 😂😂😂😂,id,22,0,@AAKAMEWAANSKIMASJAI,2025-10-10T03:42:55Z
"BG,sekali sekali bikin dong intronya biar estetik aj,massa intronya AI GUYS DAVID DISINI,bosan banget dengernya",id,22,0,@bergiatlban7594,2025-10-10T02:19:26Z
bang dapit tinggal dimana kok dikit dikit di palak (eh di pajak),id,17,0,@warofnet5469,2025-10-09T06:47:40Z
"saya suka suka aja, terlihat lebih keren 17promax dibanding ip 16",id,40,0,@maee1,2025-10-08T23:06:35Z
"Designya aneh yg pro ga estetik ga kelihatan luxury sama sekali
Beli hp poco aja lah 😂
Samsung dan android lain msh menang klo design",id,22,1,@mariaf2087,2025-10-08T20:50:32Z
Makin sini makin yakin kalo hp dengan kamera kecil2 itu udh paling nyaman. Menurutku. Aku ttp setia dng oppo reno 2f. Sesuai kebutuhan sih. Sosmedan aja udh cukup nih hp sm foto2in bocil,id,49,0,@desirosdianasari,2025-10-08T18:26:24Z
"Thank you gadgetin... Makin yakin beli yg 16 aja, harga udah turun, kamera gw anggep lebih bagus (selera)",id,27,0,@STLE889,2025-10-08T15:06:37Z
Belum mampu...kalo dipaksain bisa sih..tapi mentingin buat investasi dulu😂karena profesiku kuli bangunan,id,45,0,@pasetyoplafonbajaringan7395,2025-10-08T14:44:33Z
"Buat Fanboy denial yang dulu ngekeuh Iphone base gk butuh 120 Hz, tolong jangan beli Iphone base seri 17 ke atas ya kalian. Nikmati aja 60 Hz kalian itu, kan kalian bilang katanya gk butuh itu 😂. Iphone 17 series ke atas cuma buat Fanboy waras dan user lainnya. Awas kemakan ludah sendiri. 😂😂😂",id,75,0,@YutaWatanabe-p9r,2025-10-08T13:05:00Z
"Tim nonton ajah😅

Saya bertahan di ip 15 base model,,cos perdana ni ip pertama saya dalam hidup ni,,
Semoga awet❤",id,12,1,@ruparupachannel8929,2025-10-07T18:35:07Z
"gapernah skip iklan , nungguin rekomendasi hp akhir tahun atau buat lebaran nanti😊",id,18,0,@irmanuraini9686,2025-10-07T06:06:02Z
"bang, emang bener Tesla mau adain smart phone?",id,22,0,@GachaOfficialll,2025-10-07T02:23:37Z
Yang paling ku suka dari update iphone 17 reguler itu yang dari 60hz ke 120hz,id,48,0,@jews-Indonesian,2025-10-07T01:39:21Z
Bang menurut mu iphone cocoknya di bandingkan sama hp apa? samsung S ultra kah?,id,12,0,@jews-Indonesian,2025-10-07T01:37:34Z
Sementara itu Android udah melesat ke 144Hz 🤣,id,22,0,@customcasindo6620,2025-10-06T23:31:36Z
"jujur bimbang banget mau beli ip 17 biasa atau 17 pm, soalnya mau sekali sekali upgrade ke ip, bosen banget pake samsung",id,49,0,@MRHHH12,2025-10-06T20:37:11Z
munkin biar mirip toko oren tau kan apa .??,id,13,0,@Riady03,2025-10-06T16:43:53Z
"JANGAN BELI PRODUK DI STUDIO PONSEL, SOALNYA KALO BARANG MASALAH MEREKA LEPAS TANGAN. Kronologinya saya beli Ipad pro di tanggal 28 september , di tanggal 5 oktober hari minggu hp kena death pixel, saya komplain lah ke pihak penjual kalau ipad saya kena death pixel, apakah bisa di garansi atau engga soalnya mrk menyediakan garansi toko 7 hari, nah pas hp saya rusak di hari ke 7 harusnya bisa dong claim garansi toko tpi saya ngajukan claimnya pas di hari minggu pas pelayannya tutup. singkat cerita baru dibales lah di hari senin tanggal 6 oktober, pihak toko menolak claim garansi toko karena udh lewat 8 hari dari tangga 28 pas barang sampai, udh begitu cara bicaranya muter muter g ada solusi sama sekali yang ujung ujungnya disuruh claim garansi apple ya sama aja bohong ngapain saya harus chat panjang lebar kalo ujung ujungnya g bisa, di chat juga cuman read centang biru",id,187,2,@terenarazor3241,2025-10-06T12:18:21Z
"Kesimpulan sederhana saya :
1. Sebab teknologi Apple tidak serevolusioner dulu adalah karena tidak ada steve jobs (meninggal).
2. Sebab desain Apple tidak serevolusioner dulu adalah karena tidak ada Jonathan Paul Ive (resign dan sekarang jadi konsultan open AI).
3. Sebab material Apple sekarang ringkih adalah karena Tim Cook memakai material yang murah tapi disulap kualitasnya sama dengan yang mahal. Sulap tapi menghabiskan biaya besar untuk R&D. Pendapatan besar tapi laba bersih kecil.
4. Kandidat ceo masa depan Apple adalah John Ternus dia ahli hardware. Mungkin saat jadi ceo, kualitas hardware Apple bagus tapi mungkin harganya akan lebih mahal karena tidak memiliki kemampuan efisiensi sebagus Tim Cook.
5. Sebab soc apple hemat daya adalah karena struktur soc nya lebih banyak e-core (efisien) daripada p-core (performance).",id,202,1,@omimoel235,2025-10-06T11:35:56Z
itu made in apa bang,id,13,0,@antaniahanjani8350,2025-10-06T09:37:05Z
"masih pake iphone 13 dan masih bisa ngikutin ios 26 dengan theme yg crystal clear itu, jadi berasa hp baru hahahaha",id,40,0,@achmadakbari601,2025-10-05T09:41:25Z
"Nabung 6 bulan buat beli iphone, tp masih bingung mau beli ip yg mana",id,22,0,@jiminshii26,2025-10-05T09:35:07Z
"gk ada review poco 17 kah? cuma pengen tau pendapat David, beserta perbandingan ke hp lain",id,22,0,@wibi9424,2025-10-05T01:15:34Z
Saya nonton vid ini masih pake IP 5,id,13,0,@Virals2Virals,2025-10-04T15:23:13Z
"ini ga ada upgrade lain selain desain, kamera sama processor??",id,22,0,@ryaniseverywhere,2025-10-04T05:03:36Z
"5 atau 6 tahun lagi,  aku akan beli hp ini bang😂",id,40,0,@van2050,2025-10-04T04:40:28Z
Yang kamera ada 2 orang otomatis jauh di Redmi Note 14 juga bisa 😁,id,40,0,@567AyAy,2025-10-04T02:18:20Z
"Teknologi hp udah mentok, yg di upgrade sekarang ya itu2 aja,.jadi beli iPhone sekarang emang udah cuma  beli BUAH di hp",id,53,0,@hotthread4403,2025-10-03T17:46:27Z
Positive thinking mungkin beliau beli lewat seller jastip yang harga retailnya lebih mahal +  biaya bea cukainya yang ditotal hampir 30 juta.,id,18,0,@Berasmerah555,2025-10-03T15:56:51Z
"Menurut saya kamera lebih natural yg 16pro denk,..
Selera sih jatohnya...",id,13,0,@mreshadiptahalim315,2025-10-03T15:29:38Z
iPhone Sage jadi sage aku liatnya,id,18,0,@rungkad-e1b,2025-10-03T12:45:26Z
Alhamdulillah HP mid range sudah bisa 120hz,id,18,0,@BraveKnight999,2025-10-03T07:54:31Z
"Gatau knp, review yg ini Aku ngakak 😅🤭",id,26,0,@___ubaidd,2025-10-03T07:36:51Z
"Sejelek Apapun IP dimata fanboy tetap aja dibela, padahal klo dikritik terus pada ga beli bisa aja membuat apple memberikan yg jauh lebih baik😂",id,31,0,@CookiesGaming1,2025-10-03T07:06:18Z
"19:43 Dari ketiga warna Ip 17 Pro, aku malah lebih suka sama warna Orange ini. Kayak jarang banget Hp punya warna seberani ini. 😂  langsung WOW pas ngeliat kali pertama di iklan.",id,70,0,@iamyours9,2025-10-03T06:55:18Z
Bang adu camera sama Huawei kek nya seru banget tuh,id,22,1,@andraardy4104,2025-10-03T06:46:07Z
Grafiknya di 👑 𝐁𝐄𝐌𝟒𝐃 👑 keren abis! Gameplaynya juga seru!,id,22,0,@leonard7504,2025-10-03T05:08:34Z
keren dan suka gimana ️👑 𝐁𝐄𝐌𝟒𝐃 👑selalu update,id,31,0,@ShadowTactics_Gaming,2025-10-03T05:08:19Z
"Konten berkualitas tinggi, standar 💎 𝐁𝐄𝐌𝟒𝐃 💎emang top!",id,13,0,@ahmmedsiyam956,2025-10-03T05:05:48Z
keren dan suka gimana ️👑 𝐁𝐄𝐌𝟒𝐃 👑selalu update,id,31,0,@ColaxGamer-x6m,2025-10-03T05:00:28Z
mantap bener 👑 𝐁𝐄𝐌𝟒𝐃 👑 tempat buat seru-seruan,id,22,0,@GAUTAM_JII495,2025-10-03T04:55:09Z
Grafiknya di 👑 𝐁𝐄𝐌𝟒𝐃 👑 keren abis! Gameplaynya juga seru!,id,22,0,@ateeqaaqeel9376,2025-10-03T04:52:05Z
"Berkat👑 𝐁𝐄𝐌𝟒𝐃 👑 saya melesat, dari penjual kaki lima ke pengusaha restoran.",id,12,0,@vaibahv_25,2025-10-03T04:51:20Z
Grafiknya di 👑 𝐁𝐄𝐌𝟒𝐃 👑 keren abis! Gameplaynya juga seru!,id,22,0,@sonalichakraborty5700,2025-10-03T04:50:30Z
keren dan suka gimana ️👑 𝐁𝐄𝐌𝟒𝐃 👑selalu update,id,31,0,@NeeruOfficial9,2025-10-03T04:50:30Z
Grafiknya di 👑 𝐁𝐄𝐌𝟒𝐃 👑 keren abis! Gameplaynya juga seru!,id,22,0,@bulukgameing,2025-10-03T04:49:39Z
Klo menang di 🥇 𝐁𝐄𝐌𝟒𝐃 🏆 jgn lupa bagi2 temen2 nya !,id,13,0,@Cook_with_Nazneen_saleem,2025-10-03T04:46:17Z
Kerennya gak ada tandingan! 💎 𝐁𝐄𝐌𝟒𝐃 💎juga unik!,id,27,0,@MKTChannel-ed5vd,2025-10-03T04:44:24Z
Grafiknya di 👑 𝐁𝐄𝐌𝟒𝐃 👑 keren abis! Gameplaynya juga seru!,id,22,0,@upsc_gen1,2025-10-03T04:31:52Z
Grafiknya di 👑 𝐁𝐄𝐌𝟒𝐃 👑 keren abis! Gameplaynya juga seru!,id,22,0,@Huzaifagaming281,2025-10-03T04:24:29Z
Grafiknya di 👑 𝐁𝐄𝐌𝟒𝐃 👑 keren abis! Gameplaynya juga seru!,id,22,0,@fashionwithtyyaba,2025-10-03T04:22:10Z
Grafiknya di 👑 𝐁𝐄𝐌𝟒𝐃 👑 keren abis! Gameplaynya juga seru!,id,22,0,@mohamedkhamiss7230,2025-10-03T04:22:09Z
Klo menang di 🥇 𝐁𝐄𝐌𝟒𝐃 🏆 jgn lupa bagi2 temen2 nya !,id,13,0,@Animetoonworld2616,2025-10-03T04:21:18Z
"Konten berkualitas tinggi, standar 💎 𝐁𝐄𝐌𝟒𝐃 💎emang top!",id,13,0,@Дра́ко-крафт,2025-10-03T04:15:23Z
"Konten berkualitas tinggi, standar 💎 𝐁𝐄𝐌𝟒𝐃 💎emang top!",id,13,0,@Sporty_Boy07,2025-10-03T04:12:34Z
Grafiknya di 👑 𝐁𝐄𝐌𝟒𝐃 👑 keren abis! Gameplaynya juga seru!,id,22,0,@Funny_Channel_Offical,2025-10-03T04:08:28Z
"Konten berkualitas tinggi, standar 💎 𝐁𝐄𝐌𝟒𝐃 💎emang top!",id,13,0,@ashish9333,2025-10-03T04:08:18Z
"Berkat👑 𝐁𝐄𝐌𝟒𝐃 👑 saya melesat, dari penjual kaki lima ke pengusaha restoran.",id,12,0,@অপরাজিততুমি,2025-10-03T04:08:18Z
Punya budget 11 juta mending ambil iphone 15 128gb atau xiaomi 15T PRO 1TB??,id,13,0,@buchehandred5868,2025-10-02T15:46:56Z
"Yang nonton tapi gx mampu beli 
Mana suaranya???",id,22,0,@NiaPutri-b6z,2025-10-02T15:31:11Z
"Bang david, kalau saya beli di store china aman gak?",id,21,0,@dwizulpadhli4726,2025-10-02T15:04:26Z
"Bang, mungkin td di ip17 perlu ditambahin udah ada AOD nya, beneran pengen lihat versi basic ini ada aod nya, tqqqq",id,58,1,@rbsmoky90,2025-10-02T04:35:22Z
"kalo steve jobs liat iphone sekarang, udah dipecat tuh tim cook
apaan, tiap tahun cuman upgrade kamera, baterai, chip, ram, core gpu, core cpu, ukuran chip, screen. gitu2 aja

dulu tiap tahun, apple pasti ada inovasi baru nya
itu yang bikin orang pada nunggu
itu yang bikin apple itu apple

sayang banget
johny ive juga udah keluar dari apple lagi

no hope kalo nunggu inovasi dari apple
malah xiaomi 17, bangke bagus banget cok
ada screen di belakang nya

keliatan nya sih, ini semacam uji coba
untuk membuat smartphone dengan layar penuh depan dan belakang",id,243,0,@WhatIf-9092,2025-10-01T21:05:30Z
Xiaomi bang 17 atau nggak 15 t pro juga,id,18,0,@ajgaming9524,2025-10-01T18:12:30Z
Rekomendasi dong mending beli iPhone 14 promax atau 15 pro ???,id,18,0,@Bangkae761,2025-10-01T12:09:48Z
bang coba buat vs sama xiaomi 17 pro max bang. pengen tau penjelasan menurut yang lebih paham soal hp unggul mana. gue cuma tau model doang ga sampe spek haha,id,61,0,@r.laksamanasuhdanasaid5296,2025-10-01T10:39:09Z
alamak😢 david pasti kecawa sih desain ip17pro nya😅,id,18,0,@mhdsyahreza-x3u,2025-10-01T07:45:36Z
alamak😢 david pasti kecawa sih desain ip17pro nya😅,id,18,0,@mhdsyahreza-x3u,2025-10-01T07:45:36Z
"ip 17 sage cakepp banget dahh, semoga bisa kebeli akhir tahun",id,18,0,@lutfanramadhan5639,2025-10-01T06:56:42Z
"Kamera 17 promah, sama 16 promah ko lebih bagus 16 ya, menurut kalian gimana gaes?",id,17,0,@ArfinProduction,2025-10-01T06:42:04Z
Bang review xiaomi 17 pro dan pro max gak ya ?,id,18,0,@riskawulandari8179,2025-10-01T03:27:31Z
"Bang david, tolong buatin iphone 17 pro sama Xiomi 17 pro, lgi seru² nya...",id,13,0,@arispranatasitorus4144,2025-10-01T03:17:42Z
biasanya xiaomi atau poco dibilang niru iphone.. skrg david ngakak karena iphone keliatan kayak poco 😂😂😂😂 26:14,id,26,2,@RikiRachmawan,2025-10-01T02:24:56Z
bang bahas xiaomi 17 pro dong bandingin sama iphone17 pro ini,id,22,0,@SixtyNine-pk9ye,2025-10-01T02:13:00Z
"PAJAK 2 HP 8 JUTA BAYANGIN JIKA ADA RIBUAN YANG BELI DAN BAYAR PAJAK, TP NEGARA KITA MSH RUSAK",id,31,0,@NasZverse,2025-09-30T23:05:21Z
lebih worth it mana 16 pro atau 17 basic bang?,id,13,2,@latifafebriani8839,2025-09-30T19:30:09Z
"bang coba tolong bandingin iphone 16 pro dengan 17 basic, bingung masih dilema bget wkwk",id,12,1,@latifafebriani8839,2025-09-30T19:28:16Z
pajak nya aja segituu,id,18,0,@muhamadroup18,2025-09-30T16:30:49Z
Setelah nontoin review kang David & Baca komen neti disini jadi makin manteb dr 15promx upgrade ke 16 pm aja😅😅😅,id,22,0,@qotrunnadachanel130,2025-09-30T15:46:09Z
Terima kasih om jd nota hehehe infonya sangat bermanfaat untuk membantusaya kbtulsn ada hp yg sm lupa sandi langsung ikuti langsung jd nota,id,17,0,@amedioputra4341,2025-09-30T14:39:22Z
Warna green nya bagus spt matcha 💚,id,18,0,@queeniebee786,2025-09-30T12:11:08Z
Nonton pake redmi 13 siapa tau besok bisa kebeli iphone 17 pro tukar tambah😂😂😂😂,id,22,0,@untungteguh2361,2025-09-30T10:22:44Z
Mau tanya bang iPhone 11 buat jangka panjang 3-4 tahun nan masih wort it atau enggak soal nya mau beli🥰,id,45,0,@iqmalbagusrizaki66,2025-09-30T05:36:26Z
Haha lumayan design iphone 17 pro ini bikin hp poco x6 pro gw awet muda (malah jumlah bobanya lbh banyak 🤣),id,21,0,@Shuvi123,2025-09-30T02:30:50Z
"Assalamualaikum, bang pngn atuh bang hp 1 bebas hp apa aja yang bekas bang, buat usaha",id,31,0,@ellfreefire3815,2025-09-30T00:42:21Z
"Kalau ip17 masuk IP 11,12,13 apakah harga nya turun ya?",id,13,0,@iqmalbagusrizaki66,2025-09-30T00:40:17Z
"gw pake IP 17 Pro Max (Dark Blue), sengaja ga mau pilih Cosmic Orange, warnanya agak aneh buat gw pribadi 😅 n masih lebih bagus Silver nya, overall hp ini cakep dr specs n fitur2 barunya.. semoga yg mau punya hp ini pada kesampean yaaa …",id,71,15,@RyanMotovlog789,2025-09-29T21:38:08Z
"I-Phone ko gtu"" Aja gk ada yg beda soal desain",id,18,0,@abangezza4818,2025-09-29T19:54:48Z
"kayaknya tahun ini atau depan adalah waktunya gw nyobain IP karena base model nya udh 120hz 🤣 dari dulu pengen nyobain Apple tapi seri pro nya doang yg 120hz sedangkan gw ga suka warna"" di pro model kek biasa aja ga ada warna cerah dan unik dan ya design nya dari IP 11 sama aja 🤣 kecuali yg 17 ini ya agak seperti Poco 😂",id,141,0,@Candragod,2025-09-29T18:09:27Z
Ngakak banget masak iya kameranya bapuk 😂,id,17,0,@OrdMonic,2025-09-29T16:04:59Z
auto rotasi itu kalau pengambilan foto lebih dari 3-8 orang bngg,id,25,0,@miftahuddin-ey8nu,2025-09-29T15:16:46Z
