comment,language,confidence,likes,author,published_at
"Blinks! Can u help us (stays) for stray kids reach no 1 for the mama awards PLEASE
PLS HELP US AND SKZ WIN THIS AWARD CS THEY WORKED SK HARD THIS YEAR 
PLS BLINKS🙏",en,52,1,@skzSeungminINRoma,2025-10-21T11:59:49Z
Congratulations you found a English comment,en,13,1,@HatdogCheesedog-w3j,2025-10-21T11:33:26Z
"Im your biggest fan i have made lots of light sticks for you guys plzz reply plzzz i want original black pink reply plzzzzzzzzzzzzzzzzzzzzzzzz jisoo,jenne,lisa and rose plzz reply to my comment😢😢❤❤❤❤❤",en,48,0,@Pashudhan-g3l,2025-10-21T11:10:00Z
We are always singing your song in school,en,17,0,@Ahmad-qf8bs,2025-10-21T10:56:43Z
My friend and I are your big fan,en,17,0,@Ahmad-qf8bs,2025-10-21T10:56:20Z
And I like the song black Pink in your area,en,40,0,@Ahmad-qf8bs,2025-10-21T10:55:23Z
Wow rose and lisa my favorite singers apt rockstar money,en,17,0,@Ahmad-qf8bs,2025-10-21T10:54:35Z
"Mv looks like ""all of us are dead""",en,22,2,@Long-lc7qf,2025-10-21T10:26:04Z
4k views every 5minutes is low invite your friends and family or everyone who loves blackpink💗,en,22,1,@biniblooms-m2y,2025-10-21T10:13:43Z
I think or for me this will not reach 1b in one year but it takes i think 4 or 3 years for this to 1billion😭,en,59,2,@biniblooms-m2y,2025-10-21T10:12:03Z
Can we do a 500million views in 1year❤,en,12,2,@biniblooms-m2y,2025-10-21T10:11:21Z
I love it hana dul set jump,en,13,1,@marianesantos396,2025-10-21T09:56:11Z
Are they loved only for their beauty?,en,12,1,@Iskanderuser-oz2wv1kk9p,2025-10-21T09:42:03Z
I like you Lisa 💝😍💝💝💝💝❤🔥🔥🔥💯💯💯💯💯💞💞💞💌💌💐🌹🌺💮🌻🌻🌻🌻🌻🌻🍂🍂🍁🍁❣️💘💗💓💖💖💖,en,18,3,@fanatka_lisa,2025-10-21T08:45:34Z
❤ i’m so glad you made a song about me,en,30,1,@Kawaiigirlー,2025-10-21T08:42:14Z
"the fact that ROSE has the same jacket as Rumi!!
did you notice
??",en,35,1,@CristinaWexler-m9v,2025-10-21T05:29:29Z
So cute music❤❤❤❤,en,13,2,@Cute_Wonyoungৎ,2025-10-21T05:09:14Z
I'm not that easy to tame,en,13,1,@qztys,2025-10-21T04:46:04Z
thE best,en,18,0,@AyeMor-k6f,2025-10-21T04:21:01Z
Just the vibe,en,13,0,@vincentwilliams8753,2025-10-21T03:43:43Z
THE SONG IS FIRE GRILS 🖤💗,en,27,3,,2025-10-21T03:40:12Z
thank you blackpink,en,13,1,@nextgenwealths,2025-10-21T03:33:18Z
AHHHHHHHHHHHHHH I DONT KNOW WHAT TO SAY JUST AHHHHHHHH,en,17,0,@ParkerCunningham-j3c,2025-10-21T02:17:18Z
"Blackpink paved the way
Blackpink paved the way",en,18,0,@LemonnFrijoles,2025-10-21T00:48:25Z
so come up with me i take you high,en,21,0,@ahsennmonem,2025-10-20T23:37:03Z
"What I don't like so much is that they don't show Jisoo that much.
But I love the song",en,61,0,@nataliagrios9862,2025-10-20T23:16:56Z
This video Is so cringe,en,22,2,@antanaomeravigliao8729,2025-10-20T22:08:17Z
BLACKPINK becomes the Highest-grossing International Pop act at Kaohsiung National Stadium in Taiwan,en,17,3,@MaryAnn-h8n,2025-10-20T21:37:14Z
yeahh the queens of music!!! best!!❤‍🔥❤‍🔥,en,36,1,@BlackpiNoaKirel,2025-10-20T21:28:39Z
SONG OF THE SUMMER,en,27,0,@ahsennmonem,2025-10-20T20:10:29Z
Jump is just like I feel like i've heard it before but it's also so new and cheerful❤,en,52,0,@LisaBlink81,2025-10-20T19:46:18Z
BLACKPINK IS BACK 🩷🖤 BLACKPINK IN YOUR AREA 🖤 🩷,en,13,3,@azdevandwho,2025-10-20T18:15:05Z
"124k let's go 250M
This song is so addictive",en,31,2,@Gaines_Is_My_Motivation,2025-10-20T18:00:47Z
Is there anyone to wish me today bcz it's my birthday?,en,30,0,@SakibKhondaker-73,2025-10-20T17:17:58Z
"TOP PEORES CANCIONES DEL MUNDO:
N1:from the stars(covers)",en,13,0,@MrBl6ck,2025-10-20T17:04:58Z
I can't wait for the new album,en,17,1,@lo_____losh,2025-10-20T16:13:50Z
I love you so much,en,22,0,@lo_____losh,2025-10-20T16:13:39Z
Blackpink is the revolution,en,18,0,@lo_____losh,2025-10-20T16:13:31Z
but i love you,en,18,0,@lo_____losh,2025-10-20T16:13:20Z
I LOVE YOU BLACKPINK YOUR SONGS ARE FIRE,en,22,3,@Slay_Diva-57,2025-10-20T15:46:18Z
I love you blackpink 🖤💓,en,18,2,@mirellabauleo6009,2025-10-20T15:35:22Z
Black bink  I love you so much because I  dremat about you  last night ✨️🎀😌😘,en,31,1,@EmanAlsallemm,2025-10-20T15:01:20Z
Really this is so cute dance blackpink members I love black pink 🖤🩷,en,31,0,@rahatthetraveller1808,2025-10-20T14:45:40Z
THE BEST SONG,en,27,0,@เณรคําแบกหําท่องยุทธจักร,2025-10-20T14:35:23Z
"I really like it,it's such a beautiful song ❤",en,34,4,@MDManik-ib3bb,2025-10-20T14:11:43Z
hi a like you😃👍,en,22,3,@syrjadenaj-oo9jh,2025-10-20T13:51:51Z
Blackpink comback is going to shake the world trust me,en,31,1,@armyblink5898,2025-10-20T13:01:43Z
"Hello, I am from Türkiye❤🎉 I love Blackpink",en,13,0,@LorinPehlivan,2025-10-20T12:09:06Z
Jump is my favorite songs ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️😍😍😍,en,13,1,@JeewaniPerera-f4b,2025-10-20T11:45:39Z
i'm here to chill after all the kpop news this past few days 😊😌,en,27,0,@izmarolo2578,2025-10-20T10:13:54Z
This was exactly what I was looking for.,en,21,0,@MagasAltrosoren,2025-10-20T10:11:42Z
I got chills listening to this song,en,27,0,@mokiitoobiechan,2025-10-20T10:11:26Z
"You guys remind me of my 고양이 
going crazy",en,26,1,@debbieharriss3361,2025-10-20T08:45:21Z
I love this ❤❤❤ I love a little bass kinda 😂❤❤,en,31,0,@Nellie_Nellie_Nea,2025-10-20T07:46:25Z
Putting emojis to freeze views on purpose!!😂😂❤❤❤🎉🎉😢😢😢😮😮😅😅😅,en,13,0,@aud_friend2.0,2025-10-20T07:10:45Z
Nice song,en,13,0,@MahdiaZooni,2025-10-20T07:06:40Z
"A beautiful blend of EDM, TRAP, and TECHNO. Next level Korean entertainment",en,26,0,@ishkapresents,2025-10-20T06:22:20Z
"ahh Lisa is back my bias aaaaaa also all
black pink welcome back ❤❤❤❤i love you
but i super love Lalisa",en,40,0,@KeishaLeriosComora,2025-10-20T06:03:23Z
ai mv for a group this big is so embarrassing ....,en,30,0,@jieun8647,2025-10-20T05:56:45Z
My favourite song 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,en,13,0,@creativityus,2025-10-20T05:43:16Z
"Do you like blackpink❤✅
Do you hate BTS ✅",en,27,0,@SURYATSG,2025-10-20T05:35:11Z
They  make this bcs of few cm of di ck,en,31,0,@IvanAndric-q5y,2025-10-20T05:03:36Z
❤❤❤Thank you blackpink you made me feel better❤❤❤,en,26,0,@blackpinkj17,2025-10-20T05:01:39Z
"When I see the ""Jump"" music video, I naturally jump and I'm so excited! And the visual of BLACKPINK members is amazing, too! I love the sound of the drum bass in the back!",en,120,0,@이보민-d4p,2025-10-20T04:19:20Z
I like ro'se and jisoo❤,en,18,0,@Юлдашевлар,2025-10-20T03:57:11Z
I love black pink but like every comeback gets more and more disappointing,en,27,0,@ALANA-yo9rz,2025-10-20T03:49:54Z
"Jennie, Lisa, Rosé and Jisoo are going to film the new BLACKPINK's MV soon! 👀",en,31,10,@luizguilherme1944,2025-10-20T02:24:08Z
This melody will live rent-free in my mind forever,en,21,1,@WhisperingLyrics-r7s,2025-10-20T02:03:35Z
"@YGEntertainment please give us the performance video of this track because we, the blinks really needed to see how they ate  the dance performance on this iconic comeback party song.",en,80,34,@color_coded_lyrics,2025-10-20T00:55:21Z
I love this😊😂❤ 0:28,en,18,0,@CaliUnicornGaming2,2025-10-20T00:10:20Z
🖤❤️💙 jump for this system and be proud for our beat 🤙,en,30,0,@moonbowsheGirrl,2025-10-19T23:31:08Z
I love the way they say blackpink in your area,en,30,0,@FALL3NANGLEE,2025-10-19T21:49:42Z
Stop why does rose have the same jacket as rumi,en,17,0,@ChizitereKamalu-i7o,2025-10-19T19:02:11Z
Love you girlssss,en,18,0,@Lyyy-c1p,2025-10-19T18:57:54Z
Heard this song from Gintama that white furry dancer,en,26,0,@purpirek,2025-10-19T18:44:20Z
Blackpink blackpink blackpink i was at your concert in milano,en,12,1,@vilpo2990,2025-10-19T17:54:45Z
Blink forever love you so much girls you slay ❤🎉,en,31,1,@PrachiBhardwaj-m9c,2025-10-19T17:42:11Z
Blinks please go and vote for blackpink on mama's award,en,17,1,@hwang.Natalia,2025-10-19T17:41:05Z
"Blackpink, blackpink, blackpink, is the revolution 🎉❤🎉🖤🩷🫶💥👯👯💃💃💃💃✨👑🥰😍😘",en,18,0,@DiegoLuza-f9m,2025-10-19T17:32:52Z
Blackpink is looking so nice I am missing Blackpink,en,17,0,@khemchandbhaiparmar8572,2025-10-19T17:08:49Z
"Dear black pink, 
We love you 4 all so much. 
We appreciate all the effort you put in for everything 
We will forever support you, 
And are forever grateful that we could have a girl group like you. 
Please stay safe ❤ 
You're our hero's ❤
Our models ❤
Our idols ❤
And most of all... 
A STAR THAT SHINES LIKE NO OTHER 

WE ARE ALWAYS CHEERING FOR YOU!!! 

THIS SONGS AMAZING JUST LIKE YOU ALL❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤

SENDING ALL MY LOVE FROM BLINKS AND ME",en,230,13,@CarlyWilson-dd4iw,2025-10-19T16:58:14Z
I love❤ this 💟 music❤❤❤❤❤❤,en,27,1,@ΠΕΡΙΚΛΗΣΜΑΥΡΟΕΙΔΗΣ-π1δ,2025-10-19T16:14:39Z
Did any one notice rose hairstyle is same as apt song😂,en,22,1,@archananaskar7796,2025-10-19T15:46:16Z
What in the AI…? This video and song are concerning on so many levels,en,52,0,@madeleine8515,2025-10-19T15:40:53Z
I�m learning so much from you.,en,17,1,@ibragimrasulbekuulu9940,2025-10-19T14:25:50Z
Hated this shi at first but now shi fire😂,en,13,0,@Bangthatcochi,2025-10-19T14:08:03Z
"Blackpink, can you please write a song about forgetting love? I've been listening to you since I was 4 years old.",en,57,1,@MinelNisa-t5b,2025-10-19T13:56:14Z
BLACKPINK without teddy is the best thank you Diplo,en,40,1,@SailorSaturn-e7o,2025-10-19T13:49:46Z
Congratulition for the 6M likes!!,en,13,1,@AliyahKenmogne-m1x,2025-10-19T13:14:17Z
But the video is kinda cringe kinda guys,en,18,0,@DRxainab,2025-10-19T13:10:20Z
Love rose and Lisa they give vibes,en,22,0,@DRxainab,2025-10-19T13:09:42Z
Hi blackpink I know i said that I can't listen music for a religious reason but im backkkkk,en,25,0,@Kaylaunicorn17,2025-10-19T12:53:54Z
Hi blank 🖤pink💗 I am very big fan and this song my😌 favourite I🎀 belong to India,en,40,0,@Ashisingh2527,2025-10-19T12:44:11Z
What?! I see katseye in next roof and l see the video .,en,22,1,@cutecinnamoroll-h1t,2025-10-19T12:31:11Z
We love you blackpink 🖤🩷,en,18,1,@SophiaAlexandra-z5b,2025-10-19T12:27:05Z
This music is doooope.. BUT this music video is the worst ive ever seen in a long time... not even look like a Blackpink music video 😢,en,93,0,@brunobarcelloos,2025-10-19T12:23:46Z
"Ho thinks Im dumb or AM I JIST FAMOUSE but ho thinks blackpink is the best or is it just me?!?!?!? 
........./ᐠ ︿ ᐟ\.........
....( ⸝⸝⸝˙o̴̶ ⩊ o̴̶˙⸝⸝⸝ )....
......૮ ˎ —— ˏ ა......
..............꒳...............
      chiikawa
@FacemojiKeyboard",en,56,0,@Kayla-o5h9e,2025-10-19T12:21:55Z
"BLINK's Best Topics 2025💜💚🧡💖
→ JUMP → ME+YOU → Shut Down → THIS IS FOR → How You Like That → Strategy → BOOMBAYAH → 
This is a trend for BLACKPINK with TWICE!",en,96,1,@user-ywr3vxrt8emk5r,2025-10-19T12:20:00Z
Ilike this song but old song than better,en,27,0,@JustRubyGirl,2025-10-19T11:56:38Z
"Wow Rosé really came out swinging with that new found confidence. But the most satisfying part for me is Lisa's whole bit from 'Are you not entertained?"" Her voice slightly mimics the country twang of the guitar at the start. It's so well done.",en,111,0,@TheFireBurningWithin,2025-10-19T11:44:06Z
The mv honestly felt like a fever dream..,en,22,1,@archie113,2025-10-19T10:59:27Z
I�ve saved this for later.,en,13,0,@lwakrasalom,2025-10-19T10:46:23Z
I love you BLACKPINKKKKKKKKKKKKKKKK FOREVERRRRRRRRR😊❤😊❤😊❤😊,en,18,5,@Aleynaa071,2025-10-19T10:44:40Z
wow worst music video i’ve seen in a minute,en,21,2,@zelostial,2025-10-19T10:29:28Z
Are you serious it's not like blackpink the colour the power the instrument the group power is not like blackpink all please give us back old blackpink,en,80,0,@ShivansYadav-m4m,2025-10-19T10:08:32Z
I love you🖤🩷🖤🩷,en,18,1,@OtinoSantosuosso,2025-10-19T09:30:36Z
Our queens slayed it they deserve more views so lets str£@m more blinks,en,12,1,@tuistry,2025-10-19T06:55:56Z
I love Lisa and Rose and Jinnie and Jisoo❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊😊😊😊😊🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🥰🥰🥰🥰🥰🥰😍😍😍😍😍😍😙😙😙😙😙😙😙😙,en,36,2,@Shihan123-l3l,2025-10-19T06:30:19Z
WHAT IS GOING ON,en,13,3,@E10ten,2025-10-19T06:12:05Z
"Please Let's Try on Spotify 
Eyes Closed 2.8M
Jump 2.2M
Like Jennie 1.6M",en,13,1,@damianmadrid3341,2025-10-19T05:26:42Z
I like rose voice,en,13,0,@Christina-y5s,2025-10-19T04:47:20Z
"The best cute idol JISOO 
❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤❤❤❤
👇
❤",en,18,0,@BeknazarOchilov-u1q,2025-10-19T04:37:14Z
BLACKPINK THE QUEENS OF KPOP I HOPE THEY GO TO THE MAMA AWARDS,en,40,3,@mireyamis1382,2025-10-19T04:09:59Z
"NOBODY TOLD ME THIS WAS ALSO K-POP, SIGN ME UP.
Y'ALL FUCKERS, K-POP CAN'T BE JUST 1 CATEGORY, THIS A WHOLE NEW SPREADSHEET",en,46,0,@Room30Games,2025-10-19T03:46:15Z
"Guys vote blackpink in mama awards, blackpink is currently in 6 position",en,17,11,@tanvisri9512,2025-10-19T03:39:37Z
It's so refreshing to hear their voices together after all of their solo albums. This comeback is amazing!!!,en,48,3,@OHHHAOHLAA,2025-10-19T03:14:04Z
what the ? did black pink is crazy black pink make everyone dizzy one day I like black pink and black pink girls is crazy now,en,45,1,@thanttun2022,2025-10-19T03:11:01Z
I like it much,en,13,1,@anniechu9348,2025-10-19T03:03:24Z
bruh this is so much like edm. its so fireeee  am i wrong?,en,35,0,@WhoIsThat9274,2025-10-19T02:50:40Z
I like you black I like you and I like rosé,en,54,0,@Ronaldo7-b2k,2025-10-19T01:07:36Z
I love you Blackpink,en,18,0,@k-in286,2025-10-18T23:10:48Z
Me today music,en,13,0,@JesusAbrahamFuentesHernández,2025-10-18T23:10:13Z
No me des like,en,13,1,@guidodanteaguilera8851,2025-10-18T22:59:17Z
Lisaaa i love you🩷🖤,en,18,1,@Tahiana-t7w,2025-10-18T22:16:31Z
"Thank You Bro, Amazing Time..",en,17,0,@Beat4Heart,2025-10-18T21:16:48Z
So crazy butt is lowkey fire,en,13,0,@AntoninaSelfridge,2025-10-18T19:59:10Z
MAKE A SONG WITH BTS,en,17,0,@TamaraAbdelhady,2025-10-18T19:58:50Z
Let's go blinks 300 million is so close..,en,13,2,@KellyNunes-z7x,2025-10-18T19:39:15Z
